consent	同意	[kənˈsent]
confront	面对	[kənˈfrʌnt]
contestant	竞争者	[kənˈtestənt]
intent	意图	[ɪnˈtent]
instant	立刻	[ˈɪnstənt]
lewd	下流的	[lu:d]
profane	亵渎的	[prəˈfeɪn]
felony	重罪	[ˈfeləni]
convicted	已判刑的	[kən'vɪktɪd]
plantation	种植园	[plɑ:nˈteɪʃn]
transplant	移植	 [trænsˈplɑ:nt] 
authority	权威	[ɔ:ˈθɒrəti] 
term	学期	 [tɜ:m] 
theorize	创建理论	[ˈθɪəraɪz]
theorist	理论家	 [ˈθɪərɪst] 
fossilize	变成化石	 [ˈfɒsəlaɪz] 
fossil	化石	 [ˈfɒsl] 
religion	宗教	 [rɪˈlɪdʒən] 
region	地区	 [ˈri:dʒən] 
reproductive	生殖的	[ˌri:prəˈdʌktɪv] 
microorganism	微生物	[ˌmaɪkrəʊ'ɔ:gənɪzəm]
organism	生物体	 [ˈɔ:gənɪzəm] 
emotional	令人动情的	[ɪˈməʊʃənl]
mass	大量	 [mæs] 
periodic	周期的	[ˌpɪəriˈɒdɪk] 
environmentalist	环保人士	 [ɪnˌvaɪrənˈmentəlɪst]
hand over	交出	
retrieve	取回	[rɪˈtri:v] 
stack	堆	[stæk]
flip	轻击	[flɪp]
retract	缩回	[rɪˈtrækt
infant	婴儿	[ˈɪnfənt]
escalator	自动扶梯	 [ˈeskəleɪtə(r)]
handrail	扶手	[ˈhændreɪl] 
violator	违犯者	['vaɪəleɪtə(r)]
fresco	壁画	 [ˈfreskəʊ]
sculpture	雕塑	[ˈskʌlptʃə(r)]
chitchat	闲谈	 ['tʃɪttʃæt]
dozen	一打	 [ˈdʌzn]
doze	打盹儿	 [dəʊz]
grip	紧握	[grɪp]
lean	倾斜	 [li:n]
stow	装载	[stəʊ]
yawn	打呵欠	[jɔ:n]
aisle	过道	 [aɪl]
issue	问题，发行	['ɪsjuː] 
refund	偿还	 [ˈri:fʌnd]
depart	离开	[dɪˈpɑ:t]
resume	重新开始	 [rɪ'zju:m]
crew	工作人员	 [kru:]
freight	货物	[freɪt]
trolley	手推车	 [ˈtrɒli] 
converse	相反的，交谈	[kənˈvɜ:s]
escort	护送	[ˈeskɔ:t] 
interfere	妨碍	[ˌɪntəˈfɪə(r)] 
berth	卧铺	 [bɜ:θ] 
luggage	行李	 [ˈlʌgɪdʒ] 
pole	杆	[pəʊl]
harass	骚扰	[ˈhærəs]
hop	单足蹦跳	[hɒp]
rip	撕	 [rɪp]
rear	饲养，后面的，直立	[rɪə(r)]
chassis	（车辆的）底盘	[ˈʃæsi]
cabin	住在小屋里	[ˈkæbɪn]
conductor	售票员	 [kənˈdʌktə(r)]
fare	票价	 [feə(r)] 
inspect	检查	[ɪnˈspekt]
diesel	柴油机  	[ˈdi:zl] 
portable	轻便的	 [ˈpɔ:təbl]
greet	打招呼	[gri:t] 
hail	冰雹,打招呼	[heɪl]
tile	瓦片，瓷砖	[taɪl]
shuttle	梭子	 [ˈʃʌtl]
terminal	末端的	[ˈtɜ:mɪnl] 
metro	大都市的	 [ˈmetrəʊ] 
affix	粘贴	[əˈfɪks] 
frisk	搜（某人）的身	 [frɪsk] 
baggage	行李	[ˈbægɪdʒ]
convey	传递	[kənˈveɪ]
custom	习惯，海关	 [ˈkʌstəm] 
quarantine	对…进行检疫	 [ˈkwɒrənti:n] 
fasten	系牢	 [ˈfɑ:sn] 
highjack	抢劫	['haɪdʒæk]
recline	倚靠	 [rɪˈklaɪn]
lavatory	厕所	 [ˈlævətri] 
footrest	脚凳	 [ˈfʊtrest] 
copilot	飞机副驾驶员	 ['kəʊˌpaɪlət] 
airsick	晕机的	 [ˈeəsɪk] 
earplug	耳塞	 [ˈɪəplʌg] 
vest	马甲;防护衣；授权	[vest]
accommodate	容纳	 [əˈkɒmədeɪt]
disembark	上岸	 [ˌdɪsɪmˈbɑ:k]
refuel	（给）加油	[ˌri:ˈfju:əl] 
repair	修理	[rɪˈpeə(r)]
tow	拖	[təʊ] 
satellite	卫星	[ˈsætəlaɪt]
pedestrian	步行者	[pəˈdestriən] 
aviator	飞行员	[ˈeɪvieɪtə(r)] 
cargo	货物	[ˈkɑ:gəʊ]
coordinate	<数>坐标，协调	[kəʊ'ɔ:dɪneɪt] 
stroll	散步	[strəʊl] 
brochure	小册子	[ˈbrəʊʃə(r)] 
souvenir	纪念品   	[ˌsu:vəˈnɪə(r)]  
booklet	小册子	[ˈbʊklət]
consult	咨询	 [kənˈsʌlt] 
interpreter	口译译员	[ɪnˈtɜ:prɪtə(r)] 
narrator	解说员	[nəˈreɪtə(r)] 
bulletin	公告	 [ˈbʊlətɪn] 
discharge	卸货	[dɪsˈtʃɑ:dʒ]
dock	码头	 [dɒk] 
crane	吊车	[kreɪn]
trailer	拖车	[ˈtreɪlə(r)]
warehouse	仓库	 [ˈweəhaʊs]
shore	岸	 [ʃɔ:(r)]
tackle	用具	[ˈtækl]
tide	潮汐	 [taid]
bask	晒太阳	 [bɑ:sk] 
gamble	赌博	 [ˈgæmbl] 
jog	慢跑	 [dʒɒg] 
banquet	筵席	[ˈbæŋkwɪt]
casino	赌场	 [kəˈsi:nəʊ] 
deck	甲板	 [dek] 
cuisine	菜肴	[kwɪˈzi:n]
cast	投掷	[kɑ:st]
mariner	水手	[ˈmærɪnə(r)] 
binocular	双目望远镜	[bɪˈnɒkjələ(r)]
compass	罗盘	[ˈkʌmpəs]
chest	箱子，胸部	[tʃest] 
